"Indicator","PUBLISH STATES","Year","WHO region","Country","Residence Area Type","Display Value","Numeric","Low","High","Comments"
"Population using safely managed sanitation services (%)","Published","2003","Eastern Mediterranean","Tunisia","Urban","76","75.93932","","",""
"Population using safely managed sanitation services (%)","Published","2004","Eastern Mediterranean","Tunisia","Total","63","62.70135","","",""
"Population using safely managed sanitation services (%)","Published","2004","Eastern Mediterranean","Tunisia","Urban","77","76.82494","","",""
"Population using safely managed sanitation services (%)","Published","2005","Eastern Mediterranean","Tunisia","Total","64","63.91570","","",""
"Population using safely managed sanitation services (%)","Published","2005","Eastern Mediterranean","Tunisia","Urban","78","77.71572","","",""
"Population using safely managed sanitation services (%)","Published","2006","Eastern Mediterranean","Tunisia","Total","65","65.14349","","",""
"Population using safely managed sanitation services (%)","Published","2006","Eastern Mediterranean","Tunisia","Urban","79","78.61166","","",""
"Population using safely managed sanitation services (%)","Published","2007","Eastern Mediterranean","Tunisia","Total","66","66.38391","","",""
"Population using safely managed sanitation services (%)","Published","2007","Eastern Mediterranean","Tunisia","Urban","80","79.51276","","",""
"Population using safely managed sanitation services (%)","Published","2008","Eastern Mediterranean","Tunisia","Total","68","67.63728","","",""
"Population using safely managed sanitation services (%)","Published","2008","Eastern Mediterranean","Tunisia","Urban","80","80.41903","","",""
"Population using safely managed sanitation services (%)","Published","2009","Eastern Mediterranean","Tunisia","Total","69","68.90354","","",""
"Population using safely managed sanitation services (%)","Published","2009","Eastern Mediterranean","Tunisia","Urban","81","81.33048","","",""
"Population using safely managed sanitation services (%)","Published","2010","Eastern Mediterranean","Tunisia","Total","70","70.18226","","",""
"Population using safely managed sanitation services (%)","Published","2010","Eastern Mediterranean","Tunisia","Urban","82","82.24713","","",""
"Population using safely managed sanitation services (%)","Published","2011","Eastern Mediterranean","Tunisia","Total","71","71.47411","","",""
"Population using safely managed sanitation services (%)","Published","2011","Eastern Mediterranean","Tunisia","Urban","83","83.16897","","",""
"Population using safely managed sanitation services (%)","Published","2012","Eastern Mediterranean","Tunisia","Total","73","72.77863","","",""
"Population using safely managed sanitation services (%)","Published","2012","Eastern Mediterranean","Tunisia","Urban","84","84.09602","","",""
"Population using safely managed sanitation services (%)","Published","2013","Eastern Mediterranean","Tunisia","Total","74","74.09510","","",""
"Population using safely managed sanitation services (%)","Published","2013","Eastern Mediterranean","Tunisia","Urban","85","85.02827","","",""
"Population using safely managed sanitation services (%)","Published","2014","Eastern Mediterranean","Tunisia","Total","75","75.42446","","",""
"Population using safely managed sanitation services (%)","Published","2014","Eastern Mediterranean","Tunisia","Urban","86","85.96574","","",""
"Population using safely managed sanitation services (%)","Published","2015","Eastern Mediterranean","Tunisia","Total","77","76.50687","","",""
"Population using safely managed sanitation services (%)","Published","2015","Eastern Mediterranean","Tunisia","Urban","87","86.85741","","",""
"Population using safely managed sanitation services (%)","Published","2016","Eastern Mediterranean","Tunisia","Total","78","77.59442","","",""
"Population using safely managed sanitation services (%)","Published","2016","Eastern Mediterranean","Tunisia","Urban","88","87.75325","","",""
"Population using safely managed sanitation services (%)","Published","2017","Eastern Mediterranean","Tunisia","Total","78","78.11826","","",""
"Population using safely managed sanitation services (%)","Published","2017","Eastern Mediterranean","Tunisia","Urban","88","88.29274","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Turkey","Total","53","52.75675","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Turkey","Urban","61","61.09279","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Turkey","Total","53","52.89798","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Turkey","Urban","61","61.09279","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Turkey","Total","54","53.70037","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Turkey","Urban","62","61.65852","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Turkey","Total","54","54.49959","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Turkey","Urban","62","62.22538","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Turkey","Total","55","55.29590","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Turkey","Urban","63","62.79339","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Turkey","Total","56","56.20519","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Turkey","Urban","64","63.50240","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Turkey","Total","57","57.04481","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Turkey","Urban","64","64.11174","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Turkey","Total","58","57.88042","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Turkey","Urban","65","64.72040","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Turkey","Total","59","58.75361","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Turkey","Urban","65","65.33157","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Turkey","Total","60","59.66337","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Turkey","Urban","66","65.94527","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Turkey","Total","61","60.56884","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Turkey","Urban","67","66.56149","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Turkey","Total","61","61.46984","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Turkey","Urban","67","67.18025","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Turkey","Total","62","62.36684","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Turkey","Urban","68","67.80154","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Turkey","Total","63","63.32182","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Turkey","Urban","69","68.51378","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Turkey","Total","64","64.33297","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Turkey","Urban","69","69.31121","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Turkey","Total","65","64.88870","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Turkey","Urban","69","69.49617","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Turkey","Total","65","65.11109","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Turkey","Urban","70","69.64400","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Turkey","Total","65","65.20024","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Turkey","Urban","70","69.64400","","",""
"Population using safely managed sanitation services (%)","Published","2001","Western Pacific","Tuvalu","Rural","4","4.29787","","",""
"Population using safely managed sanitation services (%)","Published","2001","Western Pacific","Tuvalu","Total","5","4.73479","","",""
"Population using safely managed sanitation services (%)","Published","2001","Western Pacific","Tuvalu","Urban","5","5.23893","","",""
"Population using safely managed sanitation services (%)","Published","2002","Western Pacific","Tuvalu","Rural","4","4.29787","","",""
"Population using safely managed sanitation services (%)","Published","2002","Western Pacific","Tuvalu","Total","5","4.73867","","",""
"Population using safely managed sanitation services (%)","Published","2002","Western Pacific","Tuvalu","Urban","5","5.23893","","",""
"Population using safely managed sanitation services (%)","Published","2003","Western Pacific","Tuvalu","Rural","4","4.29787","","",""
"Population using safely managed sanitation services (%)","Published","2003","Western Pacific","Tuvalu","Total","5","4.74634","","",""
"Population using safely managed sanitation services (%)","Published","2003","Western Pacific","Tuvalu","Urban","5","5.23893","","",""
"Population using safely managed sanitation services (%)","Published","2004","Western Pacific","Tuvalu","Rural","4","4.29787","","",""
"Population using safely managed sanitation services (%)","Published","2004","Western Pacific","Tuvalu","Total","5","4.75596","","",""
"Population using safely managed sanitation services (%)","Published","2004","Western Pacific","Tuvalu","Urban","5","5.23893","","",""
"Population using safely managed sanitation services (%)","Published","2005","Western Pacific","Tuvalu","Rural","4","4.29787","","",""
"Population using safely managed sanitation services (%)","Published","2005","Western Pacific","Tuvalu","Total","5","4.76557","","",""
"Population using safely managed sanitation services (%)","Published","2005","Western Pacific","Tuvalu","Urban","5","5.23893","","",""
"Population using safely managed sanitation services (%)","Published","2006","Western Pacific","Tuvalu","Rural","5","4.98893","","",""
"Population using safely managed sanitation services (%)","Published","2006","Western Pacific","Tuvalu","Total","5","5.05628","","",""
"Population using safely managed sanitation services (%)","Published","2006","Western Pacific","Tuvalu","Urban","5","5.12171","","",""
"Population using safely managed sanitation services (%)","Published","2007","Western Pacific","Tuvalu","Rural","6","5.68000","","",""
"Population using safely managed sanitation services (%)","Published","2007","Western Pacific","Tuvalu","Total","5","5.33047","","",""
"Population using safely managed sanitation services (%)","Published","2007","Western Pacific","Tuvalu","Urban","5","5.00449","","",""
"Population using safely managed sanitation services (%)","Published","2008","Western Pacific","Tuvalu","Rural","6","6.37107","","",""
"Population using safely managed sanitation services (%)","Published","2008","Western Pacific","Tuvalu","Total","6","5.58814","","",""
"Population using safely managed sanitation services (%)","Published","2008","Western Pacific","Tuvalu","Urban","5","4.88726","","",""
"Population using safely managed sanitation services (%)","Published","2009","Western Pacific","Tuvalu","Rural","7","7.06213","","",""
"Population using safely managed sanitation services (%)","Published","2009","Western Pacific","Tuvalu","Total","6","5.82940","","",""
"Population using safely managed sanitation services (%)","Published","2009","Western Pacific","Tuvalu","Urban","5","4.77004","","",""
"Population using safely managed sanitation services (%)","Published","2010","Western Pacific","Tuvalu","Rural","8","7.75320","","",""
"Population using safely managed sanitation services (%)","Published","2010","Western Pacific","Tuvalu","Total","6","6.05432","","",""
"Population using safely managed sanitation services (%)","Published","2010","Western Pacific","Tuvalu","Urban","5","4.65282","","",""
"Population using safely managed sanitation services (%)","Published","2011","Western Pacific","Tuvalu","Rural","8","8.44427","","",""
"Population using safely managed sanitation services (%)","Published","2011","Western Pacific","Tuvalu","Total","6","6.26296","","",""
"Population using safely managed sanitation services (%)","Published","2011","Western Pacific","Tuvalu","Urban","5","4.53560","","",""
"Population using safely managed sanitation services (%)","Published","2012","Western Pacific","Tuvalu","Rural","9","9.13533","","",""
"Population using safely managed sanitation services (%)","Published","2012","Western Pacific","Tuvalu","Total","6","6.45539","","",""
"Population using safely managed sanitation services (%)","Published","2012","Western Pacific","Tuvalu","Urban","4","4.41838","","",""
"Population using safely managed sanitation services (%)","Published","2013","Western Pacific","Tuvalu","Rural","10","9.77463","","",""
"Population using safely managed sanitation services (%)","Published","2013","Western Pacific","Tuvalu","Total","7","6.61019","","",""
"Population using safely managed sanitation services (%)","Published","2013","Western Pacific","Tuvalu","Urban","4","4.30115","","",""
"Population using safely managed sanitation services (%)","Published","2014","Western Pacific","Tuvalu","Rural","10","9.72453","","",""
"Population using safely managed sanitation services (%)","Published","2014","Western Pacific","Tuvalu","Total","6","6.46743","","",""
"Population using safely managed sanitation services (%)","Published","2014","Western Pacific","Tuvalu","Urban","4","4.18393","","",""
"Population using safely managed sanitation services (%)","Published","2015","Western Pacific","Tuvalu","Rural","10","9.72453","","",""
"Population using safely managed sanitation services (%)","Published","2015","Western Pacific","Tuvalu","Total","6","6.41513","","",""
"Population using safely managed sanitation services (%)","Published","2015","Western Pacific","Tuvalu","Urban","4","4.18393","","",""
"Population using safely managed sanitation services (%)","Published","2016","Western Pacific","Tuvalu","Rural","10","9.72453","","",""
"Population using safely managed sanitation services (%)","Published","2016","Western Pacific","Tuvalu","Total","6","6.36443","","",""
"Population using safely managed sanitation services (%)","Published","2016","Western Pacific","Tuvalu","Urban","4","4.18393","","",""
"Population using safely managed sanitation services (%)","Published","2017","Western Pacific","Tuvalu","Rural","10","9.72453","","",""
"Population using safely managed sanitation services (%)","Published","2017","Western Pacific","Tuvalu","Total","6","6.31540","","",""
"Population using safely managed sanitation services (%)","Published","2017","Western Pacific","Tuvalu","Urban","4","4.18393","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Ukraine","Total","42","42.41496","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Ukraine","Urban","37","36.83526","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Ukraine","Total","42","42.46378","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Ukraine","Urban","37","36.84901","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Ukraine","Total","43","42.87935","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Ukraine","Urban","37","37.25452","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Ukraine","Total","43","43.28722","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Ukraine","Urban","38","37.66003","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Ukraine","Total","44","43.71471","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Ukraine","Urban","38","38.06629","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Ukraine","Total","44","44.13816","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Ukraine","Urban","38","38.47256","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Ukraine","Total","45","44.56395","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Ukraine","Urban","39","38.87885","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Ukraine","Total","45","44.98986","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Ukraine","Urban","39","39.28516","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Ukraine","Total","45","45.41569","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Ukraine","Urban","40","39.69148","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Ukraine","Total","48","48.17205","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Ukraine","Urban","43","42.79715","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Ukraine","Total","51","50.92500","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Ukraine","Urban","46","45.88165","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Ukraine","Total","54","53.65974","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Ukraine","Urban","49","48.94497","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Ukraine","Total","56","56.37609","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Ukraine","Urban","52","51.98713","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Ukraine","Total","59","59.04557","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Ukraine","Urban","55","54.96668","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Ukraine","Total","62","61.63913","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Ukraine","Urban","58","57.84170","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Ukraine","Total","64","63.91052","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Ukraine","Urban","60","60.48466","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Ukraine","Total","66","66.18406","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Ukraine","Urban","63","63.12762","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Ukraine","Total","68","68.45985","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Ukraine","Urban","66","65.77057","","",""
"Population using safely managed sanitation services (%)","Published","2000","Eastern Mediterranean","United Arab Emirates","Total","90","89.62337","","",""
"Population using safely managed sanitation services (%)","Published","2001","Eastern Mediterranean","United Arab Emirates","Total","90","89.62337","","",""
"Population using safely managed sanitation services (%)","Published","2002","Eastern Mediterranean","United Arab Emirates","Total","90","90.03941","","",""
"Population using safely managed sanitation services (%)","Published","2003","Eastern Mediterranean","United Arab Emirates","Total","90","90.45546","","",""
"Population using safely managed sanitation services (%)","Published","2004","Eastern Mediterranean","United Arab Emirates","Total","91","90.87150","","",""
"Population using safely managed sanitation services (%)","Published","2005","Eastern Mediterranean","United Arab Emirates","Total","91","91.28754","","",""
"Population using safely managed sanitation services (%)","Published","2006","Eastern Mediterranean","United Arab Emirates","Total","92","91.70358","","",""
"Population using safely managed sanitation services (%)","Published","2007","Eastern Mediterranean","United Arab Emirates","Total","92","92.11962","","",""
"Population using safely managed sanitation services (%)","Published","2008","Eastern Mediterranean","United Arab Emirates","Total","93","92.53566","","",""
"Population using safely managed sanitation services (%)","Published","2009","Eastern Mediterranean","United Arab Emirates","Total","93","92.95170","","",""
"Population using safely managed sanitation services (%)","Published","2010","Eastern Mediterranean","United Arab Emirates","Total","93","93.36774","","",""
"Population using safely managed sanitation services (%)","Published","2011","Eastern Mediterranean","United Arab Emirates","Total","94","93.78378","","",""
"Population using safely managed sanitation services (%)","Published","2012","Eastern Mediterranean","United Arab Emirates","Total","94","94.19982","","",""
"Population using safely managed sanitation services (%)","Published","2013","Eastern Mediterranean","United Arab Emirates","Total","95","94.61586","","",""
"Population using safely managed sanitation services (%)","Published","2014","Eastern Mediterranean","United Arab Emirates","Total","95","95.03191","","",""
"Population using safely managed sanitation services (%)","Published","2015","Eastern Mediterranean","United Arab Emirates","Total","95","95.44794","","",""
"Population using safely managed sanitation services (%)","Published","2016","Eastern Mediterranean","United Arab Emirates","Total","96","95.86398","","",""
"Population using safely managed sanitation services (%)","Published","2017","Eastern Mediterranean","United Arab Emirates","Total","96","96.28002","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","United Kingdom of Great Britain and Northern Ireland","Total","97","97.43275","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","United Kingdom of Great Britain and Northern Ireland","Total","97","97.43991","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","United Kingdom of Great Britain and Northern Ireland","Total","97","97.46111","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","United Kingdom of Great Britain and Northern Ireland","Total","97","97.48203","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.50280","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.52328","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.54363","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.56369","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.58360","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.60323","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.62264","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.64184","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.66096","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.67995","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.69878","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.71748","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.73611","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","United Kingdom of Great Britain and Northern Ireland","Rural","92","91.79889","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","United Kingdom of Great Britain and Northern Ireland","Total","98","97.75452","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","United Kingdom of Great Britain and Northern Ireland","Urban","99","98.96200","","",""
"Population using safely managed sanitation services (%)","Published","2000","Africa","United Republic of Tanzania","Rural","2","2.35604","","",""
"Population using safely managed sanitation services (%)","Published","2000","Africa","United Republic of Tanzania","Total","4","3.75105","","",""
"Population using safely managed sanitation services (%)","Published","2000","Africa","United Republic of Tanzania","Urban","9","8.60917","","",""
"Population using safely managed sanitation services (%)","Published","2001","Africa","United Republic of Tanzania","Rural","4","3.64716","","",""
"Population using safely managed sanitation services (%)","Published","2001","Africa","United Republic of Tanzania","Total","5","5.15072","","",""
"Population using safely managed sanitation services (%)","Published","2001","Africa","United Republic of Tanzania","Urban","10","10.27836","","",""
"Population using safely managed sanitation services (%)","Published","2002","Africa","United Republic of Tanzania","Rural","5","4.93828","","",""
"Population using safely managed sanitation services (%)","Published","2002","Africa","United Republic of Tanzania","Total","7","6.55349","","",""
"Population using safely managed sanitation services (%)","Published","2002","Africa","United Republic of Tanzania","Urban","12","11.94754","","",""
"Population using safely managed sanitation services (%)","Published","2003","Africa","United Republic of Tanzania","Rural","6","6.22939","","",""
"Population using safely managed sanitation services (%)","Published","2003","Africa","United Republic of Tanzania","Total","8","7.97362","","",""
"Population using safely managed sanitation services (%)","Published","2003","Africa","United Republic of Tanzania","Urban","14","13.61673","","",""
"Population using safely managed sanitation services (%)","Published","2004","Africa","United Republic of Tanzania","Rural","7","7.49919","","",""
"Population using safely managed sanitation services (%)","Published","2004","Africa","United Republic of Tanzania","Total","9","9.37762","","",""
"Population using safely managed sanitation services (%)","Published","2004","Africa","United Republic of Tanzania","Urban","15","15.25396","","",""
"Population using safely managed sanitation services (%)","Published","2005","Africa","United Republic of Tanzania","Rural","9","8.76165","","",""
"Population using safely managed sanitation services (%)","Published","2005","Africa","United Republic of Tanzania","Total","11","10.77970","","",""
"Population using safely managed sanitation services (%)","Published","2005","Africa","United Republic of Tanzania","Urban","17","16.88421","","",""
"Population using safely managed sanitation services (%)","Published","2006","Africa","United Republic of Tanzania","Rural","10","10.02778","","",""
"Population using safely managed sanitation services (%)","Published","2006","Africa","United Republic of Tanzania","Total","12","12.19445","","",""
"Population using safely managed sanitation services (%)","Published","2006","Africa","United Republic of Tanzania","Urban","19","18.53185","","",""
"Population using safely managed sanitation services (%)","Published","2007","Africa","United Republic of Tanzania","Rural","11","11.28652","","",""
"Population using safely managed sanitation services (%)","Published","2007","Africa","United Republic of Tanzania","Total","14","13.60761","","",""
"Population using safely managed sanitation services (%)","Published","2007","Africa","United Republic of Tanzania","Urban","20","20.17241","","",""
"Population using safely managed sanitation services (%)","Published","2008","Africa","United Republic of Tanzania","Rural","13","12.53788","","",""
"Population using safely managed sanitation services (%)","Published","2008","Africa","United Republic of Tanzania","Total","15","15.01948","","",""
"Population using safely managed sanitation services (%)","Published","2008","Africa","United Republic of Tanzania","Urban","22","21.80588","","",""
"Population using safely managed sanitation services (%)","Published","2009","Africa","United Republic of Tanzania","Rural","14","13.78186","","",""
"Population using safely managed sanitation services (%)","Published","2009","Africa","United Republic of Tanzania","Total","16","16.29656","","",""
"Population using safely managed sanitation services (%)","Published","2009","Africa","United Republic of Tanzania","Urban","23","22.94658","","",""
"Population using safely managed sanitation services (%)","Published","2010","Africa","United Republic of Tanzania","Rural","15","15.01844","","",""
"Population using safely managed sanitation services (%)","Published","2010","Africa","United Republic of Tanzania","Total","18","17.55061","","",""
"Population using safely managed sanitation services (%)","Published","2010","Africa","United Republic of Tanzania","Urban","24","24.02521","","",""
"Population using safely managed sanitation services (%)","Published","2011","Africa","United Republic of Tanzania","Rural","16","16.13670","","",""
"Population using safely managed sanitation services (%)","Published","2011","Africa","United Republic of Tanzania","Total","19","18.71768","","",""
"Population using safely managed sanitation services (%)","Published","2011","Africa","United Republic of Tanzania","Urban","25","25.09906","","",""
